season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,is_rookie,draft_round,snap_share,target_share,carry_share
2026,SEA-WR1-JaxonSmith-Njigba,Jaxon Smith-Njigba,SEA,WR,17,0.0,0.0,1428.8334992094535,121.08758467876723,0.0,0.0,10.453921516938088,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,DET-RB1-JahmyrGibbs,Jahmyr Gibbs,DET,RB,17,0.0,959.881602380729,465.4784198034962,56.765660951645884,0.0,6.8489,5.682956191054689,0.9999,0.0,False,1,0.55,0.0731,0.4708
2026,KC-WR1-RasheeRice,Rashee Rice,KC,WR,17,0.0,0.0,1420.7845646525557,120.40547158072505,0.0,0.0,10.61564889352959,0.9999,0.0,False,2,0.55,0.2207,0.0079
2026,NYJ-RB1-BreeceHall,Breece Hall,NYJ,RB,17,0.0,1132.6716642504475,263.29986081065465,32.10973912325057,0.0,8.1024,3.5807332704292643,0.9999,0.0,False,2,0.55,0.063,0.406
2026,ARI-WR1-MarvinHarrisonJr.,Marvin Harrison Jr.,ARI,WR,17,0.0,0.0,1395.157306184132,118.23367001560439,0.0,0.0,8.699061020412797,0.9998,0.0,False,1,0.55,0.2372,0.0085
2026,SF-WR1-MikeEvans,Mike Evans,SF,WR,17,0.0,0.0,1371.4491834319526,116.22450707050446,0.0,0.0,9.467889748548732,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,JAX-WR1-BrianThomasJr.,Brian Thomas Jr.,JAX,WR,17,0.0,0.0,1369.18438782065,116.03257523903814,0.0,0.0,9.533786683106065,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,DEN-WR1-CourtlandSutton,Courtland Sutton,DEN,WR,17,0.0,0.0,1355.996268756999,114.91493803025415,0.0,0.0,9.04152621456444,0.9999,0.0,False,2,0.55,0.2207,0.0079
2026,LA-WR1-PukaNacua,Puka Nacua,LA,WR,17,0.0,0.0,1352.840910830106,114.64753481611066,0.0,0.0,9.588758117165588,0.9999,0.0,False,5,0.55,0.1754,0.0063
2026,TB-WR1-EmekaEgbuka,Emeka Egbuka,TB,WR,17,0.0,0.0,1330.7393811931242,112.77452382992578,0.0,0.0,9.575664630599205,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,DEN-RB1-J.K.Dobbins,J.K. Dobbins,DEN,RB,17,0.0,939.3620805653183,387.0660991041434,47.20318281757846,0.0,6.7525,4.692515301317365,0.9999,0.0,False,2,0.55,0.063,0.406
2026,NYG-WR1-MalikNabers,Malik Nabers,NYG,WR,17,0.0,0.0,1318.6839340446174,111.752875766493,0.0,0.0,9.763306781240114,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,TEN-WR1-CarnellTate,Carnell Tate,TEN,WR,17,0.0,0.0,1313.185615146129,111.28691653780754,0.0,0.0,9.386681745396464,0.9999,0.0,True,1,0.55,0.2372,0.0085
2026,IND-WR1-AlecPierce,Alec Pierce,IND,WR,17,0.0,0.0,1288.2655225420062,109.17504428322086,0.0,0.0,8.863124656503297,0.9999,0.0,False,2,0.55,0.2207,0.0079
2026,CHI-WR1-RomeOdunze,Rome Odunze,CHI,WR,17,0.0,0.0,1288.0850263178818,109.15974799304082,0.0,0.0,8.91475878165971,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,NO-WR1-ChrisOlave,Chris Olave,NO,WR,17,0.0,0.0,1285.9139449147492,108.97575804362282,0.0,0.0,8.849657179021992,0.9999,0.0,False,1,0.55,0.2372,0.0085
