season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,carry_share
2026,LA-RB2-BlakeCorum,Blake Corum,LA,RB,17,0.0,409.4839295999999,144.78346828480818,19.854,0.0,2.4972705882352946,0.5892019241792694,0.9637,0.2304
2026,DET-RB2-IsiahPacheco,Isiah Pacheco,DET,RB,17,0.0,308.5846588235295,127.03485242078985,18.525,0.0,2.4507049411764705,0.5338928799397744,0.9639,0.1764
2026,IND-RB2-DJGiddens,DJ Giddens,IND,RB,17,0.0,347.1134569411765,148.365,17.226,0.0,2.4933275294117645,0.6515619955663646,0.968,0.1897
2026,CLE-TE2-JoeRoyer,Joe Royer,CLE,TE,17,0.0,0.0,442.896,47.079,0.0,0.0,2.005570358268958,0.7449,
2026,NYJ-RB2-BraelonAllen,Braelon Allen,NYJ,RB,17,0.0,622.5887231999999,92.50271468168663,16.561,0.0,4.172868666666668,0.4832812131988679,0.939,0.3456
2026,LV-TE2-MichaelMayer,Michael Mayer,LV,TE,17,0.0,0.0,441.572,49.419,0.0,0.0,2.1400883692008525,0.7534,
2026,MIA-TE2-WillKacmarek,Will Kacmarek,MIA,TE,17,0.0,0.0,440.699,45.714,0.0,0.0,2.2493901984937406,0.7708,
2026,CAR-WR2-JalenCoker,Jalen Coker,CAR,WR,17,0.0,0.0,440.192,41.421,0.0,0.0,2.171480335306836,0.8723,
2026,DEN-RB2-RJHarvey,RJ Harvey,DEN,RB,17,0.0,618.1759584,149.068,19.152,0.0,3.9543269333333333,0.6102886656788481,0.9701,0.3168
2026,DAL-RB2-JaydonBlue,Jaydon Blue,DAL,RB,17,0.0,411.1112448000001,130.5591084445798,21.438,0.0,2.266883294117647,0.5660826640597796,0.9636,0.2304
2026,NE-TE2-EliRaridon,Eli Raridon,NE,TE,17,0.0,0.0,425.574,42.24,0.0,0.0,1.974287300056822,0.728,
2026,PIT-RB2-RicoDowdle,Rico Dowdle,PIT,RB,17,0.0,565.8571008,138.34,17.485,0.0,4.739093999999999,0.6393748589996082,0.9558,0.3456
2026,CLE-RB2-DylanSampson,Dylan Sampson,CLE,RB,17,0.0,588.1362048,124.53,17.031,0.0,4.613833333333334,0.563910436570286,0.9508,0.3456
2026,NE-WR2-RomeoDoubs,Romeo Doubs,NE,WR,17,0.0,0.0,418.229,36.74,0.0,0.0,1.9402129904915824,0.853,
2026,CAR-TE2-Ja'TavionSanders,Ja'Tavion Sanders,CAR,TE,17,0.0,0.0,417.962,45.021,0.0,0.0,2.0618190787327246,0.7423,
2026,NYJ-WR2-AdonaiMitchell,Adonai Mitchell,NYJ,WR,17,0.0,0.0,336.5804535748223,41.418,0.0,0.0,1.7584674190634193,0.8798,
2026,MIN-WR2-JordanAddison,Jordan Addison,MIN,WR,17,0.0,0.0,331.7407698116665,41.618,0.0,0.0,1.6303318265718472,0.87,
2026,MIN-TE2-JoshOliver,Josh Oliver,MIN,TE,17,0.0,0.0,326.3910799922428,46.649,0.0,0.0,1.6040409079734328,0.7418,
2026,LAC-RB2-KimaniVidal,Kimani Vidal,LAC,RB,17,0.0,571.5574272000001,151.15,19.86,0.0,4.428887333333333,0.6546406434321247,0.9509,0.3456
2026,PHI-TE2-EliStowers,Eli Stowers,PHI,TE,17,0.0,0.0,403.418,38.852,0.0,0.0,1.9694032484989217,0.7334,
2026,NO-RB2-AlvinKamara,Alvin Kamara,NO,RB,17,0.0,568.8171648,113.72257109443038,18.913,0.0,4.542760666666666,0.49420221976255857,0.9534,0.3456
2026,PHI-WR2-MakaiLemon,Makai Lemon,PHI,WR,17,0.0,0.0,402.132,33.723,0.0,0.0,1.9631252624458213,0.8503,
2026,MIA-RB2-JaylenWright,Jaylen Wright,MIA,RB,17,0.0,303.6750607058824,129.134,17.264,0.0,2.035932705882353,0.6591182505344706,0.9447,0.1897
2026,WAS-WR2-StefonDiggs,Stefon Diggs,WAS,WR,17,0.0,0.0,390.165,36.134,0.0,0.0,2.180377468212926,0.883,
2026,NYJ-TE2-MasonTaylor,Mason Taylor,NYJ,TE,17,0.0,0.0,315.1562073440572,44.114,0.0,0.0,1.6465362638978156,0.7843,
2026,KC-RB2-EmmettJohnson,Emmett Johnson,KC,RB,17,0.0,426.24,165.478,21.093,0.0,2.542923006299043,0.7065123688491536,0.9551,0.2304
2026,BAL-WR2-RashodBateman,Rashod Bateman,BAL,WR,17,0.0,0.0,300.8238096794487,27.764,0.0,0.0,1.6843483231426077,0.8775,
2026,BAL-TE2-DurhamSmythe,Durham Smythe,BAL,TE,17,0.0,0.0,298.51267588611483,31.493,0.0,0.0,1.671408009895767,0.7578,
2026,WAS-TE2-BenSinnott,Ben Sinnott,WAS,TE,17,0.0,0.0,372.321,39.308,0.0,0.0,2.0806590015570463,0.7517,
2026,TEN-RB2-TyjaeSpears,Tyjae Spears,TEN,RB,17,0.0,501.2796672,136.89,19.543,0.0,4.249046,0.6307654997682478,0.9474,0.3456
2026,MIN-RB2-JordanMason,Jordan Mason,MIN,RB,17,0.0,503.0125056,93.96077756864008,17.065,0.0,3.2139973333333334,0.4617679226058299,0.9395,0.3168
2026,CIN-TE3-ErickAllJr.,Erick All Jr.,CIN,TE,17,0.0,0.0,304.2596383525831,36.906,0.0,0.0,1.2483398343114596,0.7342,
2026,LV-RB2-MikeWashingtonJr.,Mike Washington Jr.,LV,RB,17,0.0,455.6884607999999,128.17,18.35,0.0,4.09944,0.6211787121476751,0.9448,0.3456
2026,LA-TE3-TerranceFerguson,Terrance Ferguson,LA,TE,17,0.0,0.0,290.13739264773864,32.19,0.0,0.0,1.180725341432791,0.7144,
2026,DAL-TE3-LukeSchoonmaker,Luke Schoonmaker,DAL,TE,17,0.0,0.0,253.8101669805837,33.553,0.0,0.0,1.1004788344645833,0.7379,
2026,KC-TE3-JaredWiley,Jared Wiley,KC,TE,17,0.0,0.0,326.793,33.463,0.0,0.0,1.3952507073648548,0.7318,
2026,ARI-TE3-ElijahHiggins,Elijah Higgins,ARI,TE,17,0.0,0.0,326.241,37.322,0.0,0.0,1.3558620407395936,0.7233,
2026,DET-TE3-TylerConklin,Tyler Conklin,DET,TE,17,0.0,0.0,216.37138039121626,25.47204012446387,0.0,0.0,0.9093499713839605,0.7166,
2026,ARI-RB2-TylerAllgeier,Tyler Allgeier,ARI,RB,17,0.0,421.68902400000013,171.887,24.27,0.0,4.246690000000002,0.7143647138054584,0.9512,0.3456
2026,CIN-WR3-AndreiIosivas,Andrei Iosivas,CIN,WR,17,0.0,0.0,270.54016488683277,28.51,0.0,0.0,1.109992986378492,0.7307,
2026,CIN-RB2-SamajePerine,Samaje Perine,CIN,RB,17,0.0,427.9817088000001,155.9948660557453,23.375,0.0,4.044073999999999,0.6400277286197402,0.949,0.3456
