season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,snap_share,target_share,carry_share,is_rookie,draft_round
2026,NO-WR3-DevaughnVele,Devaughn Vele,NO,WR,17,0.0,0.0,490.7124198796193,41.585798294882984,0.0,0.0,3.186793628441225,0.9581756245496714,0.0,0.15,0.11,0.0,,
2026,LV-RB2-MikeWashingtonJr.,Mike Washington Jr.,LV,RB,17,0.0,300.88714498443875,187.20083333333326,22.82936991869918,0.0,1.908516659495493,2.418983333724324,0.9868859757475145,0.0,0.3,0.05,0.24,,
2026,SEA-WR3-CooperKupp,Cooper Kupp,SEA,WR,17,0.0,0.0,481.6633108996096,40.81892465250929,0.0,0.0,3.258215586098569,0.9615430400381211,0.0,0.15,0.11,0.0,,
2026,CLE-RB2-DylanSampson,Dylan Sampson,CLE,RB,17,0.0,300.88714498443863,180.7391145833333,22.041355436991868,0.0,1.955377889480157,2.370985264103329,0.9871752141651405,0.0,0.3,0.05,0.24,,
2026,LAC-WR3-Tre'Harris,Tre' Harris,LAC,WR,17,0.0,0.0,478.15453125,40.52157044491525,0.0,0.0,3.022873744499593,0.9495598873303583,0.0,0.15,0.11,0.0,,
2026,DET-TE1-SamLaPorta,Sam LaPorta,DET,TE,17,0.0,0.0,477.2694322133625,40.446562051979875,0.0,0.0,4.3547846717530625,0.9864890214071039,0.0,0.55,0.1008,0.0,,
2026,DAL-TE1-JakeFerguson,Jake Ferguson,DAL,TE,17,0.0,0.0,476.50979903181906,40.38218635862873,0.0,0.0,4.303221797492742,0.983979138380009,0.0,0.55,0.1008,0.0,,
2026,PHI-TE1-DallasGoedert,Dallas Goedert,PHI,TE,17,0.0,0.0,475.8734166666667,40.32825564971751,0.0,0.0,4.528489119309063,0.9904272518473678,0.0,0.55,0.14,0.0,,
2026,MIN-RB2-JordanMason,Jordan Mason,MIN,RB,17,0.0,300.8871449844388,172.61843404423382,21.051028541979736,0.0,1.9809834954103998,2.3637623022234155,0.9875576531920222,0.0,0.3,0.05,0.24,,
2026,IND-WR3-AshtonDulin,Ashton Dulin,IND,WR,17,0.0,0.0,472.98819791666665,40.08374558615819,0.0,0.0,2.639669068814478,0.9269688896153905,0.0,0.15,0.11,0.0,,
2026,SF-WR3-ChristianKirk,Christian Kirk,SF,WR,17,0.0,0.0,461.0710729166666,39.07381973870056,0.0,0.0,2.6500135183424285,0.9278835390999826,0.0,0.15,0.11,0.0,,
2026,CHI-WR3-KalifRaymond,Kalif Raymond,CHI,WR,17,0.0,0.0,460.3821979166667,39.01544050141243,0.0,0.0,2.9173608635764965,0.9442764412692521,0.0,0.15,0.11,0.0,,
2026,HOU-WR3-JaylinNoel,Jaylin Noel,HOU,WR,17,0.0,0.0,460.20081250000004,39.0000688559322,0.0,0.0,2.9449554035531036,0.9468225720133181,0.0,0.15,0.11,0.0,,
2026,MIA-RB2-JaylenWright,Jaylen Wright,MIA,RB,17,0.0,274.25996401236443,184.35890624999996,22.48279344512195,0.0,1.9183692549712374,2.1189801436935,0.9829785178129924,0.0,0.3,0.05,0.24,,
2026,WAS-TE1-ChigOkonkwo,Chig Okonkwo,WAS,TE,17,0.0,0.0,457.36177083333337,38.75947210451977,0.0,0.0,4.871968336422163,0.9935059490809204,0.0,0.55,0.14,0.0,,
2026,JAX-WR3-ParkerWashington,Parker Washington,JAX,WR,17,0.0,0.0,454.2912916666666,38.49926200564971,0.0,0.0,2.908218005476109,0.9448799925583095,0.0,0.15,0.11,0.0,,
2026,TEN-WR3-CalvinRidley,Calvin Ridley,TEN,WR,17,0.0,0.0,451.38477083333333,38.252946680790956,0.0,0.0,2.892227496506215,0.9440926745537802,0.0,0.15,0.11,0.0,,
2026,NO-TE1-JuwanJohnson,Juwan Johnson,NO,TE,17,0.0,0.0,449.67101748968753,38.10771334658369,0.0,0.0,4.588982824955364,0.9896519521348613,0.0,0.55,0.1008,0.0,,
2026,TB-WR3-JalenMcMillan,Jalen McMillan,TB,WR,17,0.0,0.0,448.8327708333335,38.03667549435029,0.0,0.0,2.8797833886865045,0.9435424965959343,0.0,0.15,0.11,0.0,,
2026,SEA-TE1-AJBarner,AJ Barner,SEA,TE,17,0.0,0.0,441.37874307891497,37.40497822702669,0.0,0.0,4.69183044398194,0.9908301141774184,0.0,0.55,0.1008,0.0,,
2026,BUF-WR3-JoshuaPalmer,Joshua Palmer,BUF,WR,17,0.0,0.0,437.86760416666675,37.107424081920904,0.0,0.0,2.560347951959009,0.9234623315079344,0.0,0.15,0.11,0.0,,
2026,PIT-WR3-RomanWilson,Roman Wilson,PIT,WR,17,0.0,0.0,437.26409375000003,37.05627913135593,0.0,0.0,2.7967718700881745,0.9383043010202402,0.0,0.15,0.11,0.0,,
2026,GB-WR3-MatthewGolden,Matthew Golden,GB,WR,17,0.0,0.0,422.79748958333323,35.830295727401115,0.0,0.0,2.7410490604483426,0.93637364780754,0.0,0.15,0.11,0.0,,
2026,BAL-WR3-DevontezWalker,Devontez Walker,BAL,WR,17,0.0,0.0,421.3957288471681,35.711502444675254,0.0,0.0,3.0254971182175487,0.95059702050069,0.0,0.15,0.11,0.0,,
2026,ARI-WR3-KendrickBourne,Kendrick Bourne,ARI,WR,17,0.0,0.0,419.1088387976466,35.517698203190385,0.0,0.0,2.583533776732984,0.9252458676279125,0.0,0.15,0.11,0.0,,
2026,NYG-WR3-DarnellMooney,Darnell Mooney,NYG,WR,17,0.0,0.0,418.77366666666666,35.48929378531073,0.0,0.0,2.782550673216884,0.940429867408763,0.0,0.15,0.11,0.0,,
2026,ATL-WR3-OlamideZaccheaus,Olamide Zaccheaus,ATL,WR,17,0.0,0.0,417.62886458333327,35.39227665960451,0.0,0.0,2.4621989231356256,0.9166611539442107,0.0,0.15,0.11,0.0,,
2026,LV-WR3-JackBech,Jack Bech,LV,WR,17,0.0,0.0,411.84183333333317,34.90185028248586,0.0,0.0,2.660881667096756,0.9306169063931736,0.0,0.15,0.11,0.0,,
2026,NE-WR3-KayshonBoutte,Kayshon Boutte,NE,WR,17,0.0,0.0,406.5194375,34.45079978813559,0.0,0.0,2.6453591946029813,0.9304057206782104,0.0,0.15,0.11,0.0,,
2026,MIA-WR3-TutuAtwell,Tutu Atwell,MIA,WR,17,0.0,0.0,405.58959374999995,34.37199947033898,0.0,0.0,2.3308781580628497,0.9065567334394438,0.0,0.15,0.11,0.0,,
2026,CAR-WR3-XavierLegette,Xavier Legette,CAR,WR,17,0.0,0.0,399.2550833333334,33.83517655367232,0.0,0.0,2.59404181147302,0.9265173579274071,0.0,0.15,0.11,0.0,,
2026,CLE-WR3-DenzelBoston,Denzel Boston,CLE,WR,17,0.0,0.0,397.62605208333326,33.69712305790959,0.0,0.0,2.608083790513662,0.9287170041500826,0.0,0.15,0.11,0.0,,
2026,BAL-TE1-MarkAndrews,Mark Andrews,BAL,TE,17,0.0,0.0,386.1517224344958,32.724722240211506,0.0,0.0,4.356715850233271,0.986847614654487,0.0,0.55,0.1008,0.0,,
2026,MIN-WR3-JauanJennings,Jauan Jennings,MIN,WR,17,0.0,0.0,379.76055489731436,32.183097872653754,0.0,0.0,2.6001385324457567,0.9290821185265657,0.0,0.15,0.11,0.0,,
2026,PHI-WR3-DontayvionWicks,Dontayvion Wicks,PHI,WR,17,0.0,0.0,373.90054166666664,31.6864865819209,0.0,0.0,2.264244559654531,0.9021595781252342,0.0,0.15,0.11,0.0,,
2026,WAS-WR3-LukeMcCaffrey,Luke McCaffrey,WAS,WR,17,0.0,0.0,359.3556770833333,30.453870939265535,0.0,0.0,2.435984168211081,0.919414325596421,0.0,0.15,0.11,0.0,,
2026,LA-RB3-RonnieRivers,Ronnie Rivers,LA,RB,17,0.0,238.67682657494404,105.95665733825409,12.921543577835866,0.0,1.9035258490157907,1.4610110158707248,0.9630825752288399,0.0,0.15,0.02,0.0939,,
2026,MIN-TE1-T.J.Hockenson,T.J. Hockenson,MIN,TE,17,0.0,0.0,347.99876303317535,29.49142059603181,0.0,0.0,3.74419948672189,0.9778645535858922,0.0,0.55,0.1008,0.0,,
2026,NYJ-WR3-OmarCooperJr.,Omar Cooper Jr.,NYJ,WR,17,0.0,0.0,346.83821090047394,29.393068720379144,0.0,0.0,2.385015931362871,0.9123123121964737,0.0,0.15,0.11,0.0,,
2026,DAL-RB3-MalikDavis,Malik Davis,DAL,RB,17,0.0,244.58361025615832,94.54559504599585,11.52995061536535,0.0,1.858564504499889,1.3583402138550322,0.957720192758772,0.0,0.15,0.02,0.0962,,
2026,KC-TE2-NoahGray,Noah Gray,KC,TE,17,0.0,0.0,341.1436145833334,28.910475812146895,0.0,0.0,3.3045796499177245,0.9595618479095641,0.0,0.3,0.07,0.0,,
2026,SEA-RB3-GeorgeHolani,George Holani,SEA,RB,17,0.0,248.17492904173704,87.57514743629267,10.679896028816179,0.0,1.8564105510110913,1.481007084590259,0.9644714128810579,0.0,0.15,0.02,0.0976,,
2026,SF-RB3-KaelonBlack,Kaelon Black,SF,RB,17,0.0,255.45718710625286,83.83110416666665,10.223305386178861,0.0,1.8396822098391492,1.2045515992465583,0.951920394267823,0.0,0.15,0.02,0.1005,,
2026,CHI-RB3-RoschonJohnson,Roschon Johnson,CHI,RB,17,0.0,258.65144706830233,83.70585416666665,10.208030995934958,0.0,1.776193350034197,1.3260731198074984,0.9544354919296453,0.0,0.15,0.02,0.1017,,
2026,DEN-TE2-AdamTrautman,Adam Trautman,DEN,TE,17,0.0,0.0,329.4563854166666,27.920032662429374,0.0,0.0,3.2079815809669996,0.958148281092161,0.0,0.3,0.07,0.0,,
2026,JAX-RB3-LeQuintAllenJr.,LeQuint Allen Jr.,JAX,RB,17,0.0,256.5430504838623,82.59841666666665,10.072977642276422,0.0,1.7879974133856753,1.3219172752164132,0.9551925283596269,0.0,0.15,0.02,0.1009,,
2026,TB-RB3-SeanTucker,Sean Tucker,TB,RB,17,0.0,255.34760456355866,81.60595833333335,9.951946138211385,0.0,1.7523180729221153,1.3089924494029566,0.9530561516493538,0.0,0.15,0.02,0.1004,,
2026,HOU-RB3-JawharJordan,Jawhar Jordan,HOU,RB,17,0.0,255.2947318238896,83.672875,10.204009146341464,0.0,1.7062371602717354,1.3386160925241382,0.952161696956564,0.0,0.15,0.02,0.1016,,
2026,BUF-RB3-TyJohnson,Ty Johnson,BUF,RB,17,0.0,232.9280125331982,79.61229166666666,9.70881605691057,0.0,1.8743208812737466,1.1637945236177314,0.9522840755411751,0.0,0.15,0.02,0.0916,,
2026,GB-RB3-ChrisBrooks,Chris Brooks,GB,RB,17,0.0,255.89480570207851,76.8722708333333,9.374667174796745,0.0,1.8669059010945972,1.245931391112883,0.9558010739753274,0.0,0.15,0.02,0.1007,,
2026,BAL-RB3-RasheenAli,Rasheen Ali,BAL,RB,17,0.0,243.60305997152804,76.61740524493963,9.343586005480445,0.0,1.9035258490157907,1.3752259628261587,0.9620195019196769,0.0,0.15,0.02,0.0958,,
2026,NYG-RB3-DevinSingletary,Devin Singletary,NYG,RB,17,0.0,251.7612668026478,76.14066666666666,9.285447154471544,0.0,1.7222894213033664,1.2647957605531295,0.9504305601629945,0.0,0.15,0.02,0.099,,
2026,ATL-RB3-TylerGoodson,Tyler Goodson,ATL,RB,17,0.0,244.1773009582455,75.93252083333331,9.26006351626016,0.0,1.7450302427526647,1.1191813286980117,0.9435558258246259,0.0,0.15,0.02,0.096,,
2026,NE-RB3-LanLarison,Lan Larison,NE,RB,17,0.0,250.5658208823442,73.91262499999999,9.013734756097561,0.0,1.8035642142265016,1.20243599754681,0.9509522512415554,0.0,0.15,0.02,0.0986,,
2026,NYJ-TE1-KenyonSadiq,Kenyon Sadiq,NYJ,TE,17,0.0,0.0,317.8299241706161,26.93473933649289,0.0,0.0,3.434422941162535,0.9699508901974417,0.0,0.55,0.1008,0.0,,
2026,PHI-RB3-WillShipley,Will Shipley,PHI,RB,17,0.0,253.23849640416572,67.98191666666666,8.290477642276423,0.0,1.8095524962857092,1.0292020725702415,0.9430798513579773,0.0,0.15,0.02,0.0996,,
