Date,Visitor,PTS,Home,PTS_2
2022-11-22,Ohio State,81,Cincinnati,53
2022-11-22,Indiana St,61,Kansas City,63
2022-11-22,Tulane,78,Rhode Island,75
2022-11-22,FDU Florhm,45,Hartford,82
2022-11-22,St. Andrews,57,NC A&T,109
2022-11-22,Bakersfield,73,Texas A&M-CC,63
2022-11-22,UT Martin,64,Arkansas St,70
2022-11-22,Bradley,64,Auburn,85
2022-11-22,South Florida,75,Saint Joseph's,62
2022-11-22,Bowling Green,66,Notre Dame,82
2022-11-22,Southern NO,61,Troy,118
2022-11-22,Truett McCnnll,48,Tennessee Tech,84
2022-11-22,Coppin St,67,Towson,83
2022-11-22,UMBC,72,UNC Greensboro,76
2022-11-22,UC San Diego,75,G Washington,70
2022-11-22,Stonehill,60,Fordham,71
2022-11-22,Vermont,44,Yale,73
2022-11-22,Temple,49,Richmond,61
2022-11-22,So Indiana,66,St Bonaventure,80
2022-11-22,St Mary's (MD),41,Norfolk St,91
2022-11-22,Rider,46,Rutgers,76
2022-11-22,Kentucky St,49,Morehead St,114
2022-11-22,William Woods,49,SE Missouri,87
2022-11-22,Elon,53,Jax State,78
2022-11-22,Weber St,77,Abilene Chrstn,67
2022-11-22,Lady of Lake,76,Incarnate Word,85
2022-11-22,N Arizona,79,UT Rio Grande,91
2022-11-22,FGCU,67,Drexel,59
2022-11-22,Nevada,87,Kansas St,96
2022-11-22,Paul Quinn,46,North Texas,76
2022-11-22,Jarvis Chrstn,52,Nicholls,97
2022-11-22,Crwlys Rdg,56,AR-Pine Bluff,70
2022-11-22,CO Christian,70,N Colorado,69
2022-11-22,Marist,59,MD Eastern,70
2022-11-22,UW Stout,61,North Dakota,92
2022-11-22,Prairie View,75,UTSA,82
2022-11-22,Creighton,90,Arkansas,87
2022-11-22,Louisiana,76,SMU,72
2022-11-22,Penn,74,Lafayette,68
2022-11-22,FDU,61,Pitt,83
2022-11-22,Liberty,52,Northwestern,66
2022-11-22,Monstnor,51,Montana,63
2022-11-22,Oral Roberts,85,Utah State,95
2022-11-22,Alcorn St,61,UTEP,73
2022-11-22,UAlbany,68,Presbyterian,65
2022-11-22,Grambling,49,Arizona St,80
2022-11-22,Syracuse,69,St John's,76
2022-11-22,Westcliff,57,Fullerton,78
2022-11-22,Wright St,65,UC Riverside,70
2022-11-22,Mount St Marys,69,Pacific,65
2022-11-22,Sacramento St,71,UC Davis,82
2022-11-22,San Diego St,70,Arizona,87
2022-11-23,McNeese,60,Baylor,89
2022-11-23,North Florida,56,Kentucky,96
2022-11-24,Florida St,63,Siena,80
2022-11-24,Wisconsin,68,Kansas,69
2022-11-24,Manhattan,67,Northeastern,69
2022-11-24,North Carolina,89,Portland,81
2022-11-24,Ole Miss,72,Stanford,68
2022-11-24,Tennessee,73,USC,66
2022-11-24,Princeton,74,Army,66
2022-11-24,IU Indy,84,New Orleans,87
2022-11-24,Duke,54,Oregon St,51
2022-11-24,Iowa State,81,Villanova,79
2022-11-24,Dayton,64,NC State,76
2022-11-24,Oklahoma,69,Nebraska,56
2022-11-24,Florida,83,Xavier,90
2022-11-24,The Citadel,71,Denver,74
2022-11-24,Butler,75,BYU,70
2022-11-24,Memphis,69,Seton Hall,70
2022-11-24,UConn,83,Oregon,59
2022-11-24,Fresno St,59,Vanderbilt,67
2022-11-24,Purdue,80,West Virginia,68
2022-11-24,Alabama,81,Michigan St,70
2022-11-24,Washington,68,Saint Mary's,64
2022-11-24,Portland St,78,Gonzaga,102
2022-11-25,MD Eastern,45,Virginia,72
2022-11-25,Lindenwood,59,Illinois,92
2022-11-25,Coppin St,79,Maryland,95
2022-11-26,Kent State,44,Houston,49
2022-11-27,Saint Louis,60,Auburn,65
2022-11-27,Bellarmine,60,UCLA,81
2022-11-28,Texas Southern,55,Kansas,87
2022-11-28,Troy,61,Arkansas,74
2022-11-29,Norfolk St,52,Houston,100
2022-11-29,Bellarmine,41,Kentucky,60
2022-11-29,UC Irvine,69,San Diego St,72
2022-11-30,McNeese,40,Tennessee,76
2022-11-30,North Dakota,44,Iowa State,63
2022-12-01,Arizona,66,Utah,81
2022-12-01,UCLA,80,Stanford,66
2022-12-02,Baylor,64,Gonzaga,63
2022-12-02,Colgate,66,Auburn,93
2022-12-02,Illinois,66,Maryland,71
2022-12-02,Occidental,57,San Diego St,95
2022-12-03,Florida St,57,Virginia,62
2022-12-03,Indiana,48,Rutgers,63
2022-12-03,San José St,58,Arkansas,99
2022-12-03,S Dakota St,65,Alabama,78
2022-12-03,Boston College,59,Duke,75
2022-12-03,Saint Francis,59,Ohio State,96
2022-12-04,California,68,Arizona,81
2022-12-04,Minnesota,70,Purdue,89
2022-12-04,Nebraska,63,Creighton,53
2022-12-04,Alcorn St,40,Tennessee,94
2022-12-04,North Carolina,72,Virginia Tech,80
2022-12-04,Northwestern,70,Michigan St,63
2022-12-04,Oregon,56,UCLA,65
2022-12-05,Kent State,66,Gonzaga,73
2022-12-05,Troy,55,San Diego St,60
2022-12-06,North Florida,42,Houston,76
2022-12-06,James Madison,50,Virginia,55
2022-12-06,UNC Greensboro,58,Arkansas,65
2022-12-06,Tarleton St,57,Baylor,80
2022-12-06,Maryland,59,Wisconsin,64
2022-12-06,Jackson St,51,TCU,78
2022-12-07,Hofstra,66,Purdue,85
2022-12-07,UConn,75,Florida,54
2022-12-07,E Kentucky,49,Tennessee,84
2022-12-07,Nebraska,65,Indiana,81
2022-12-08,Iowa State,56,Iowa,75
2022-12-08,Rutgers,66,Ohio State,67
2022-12-09,Washington,60,Gonzaga,77
2022-12-10,Alabama,71,Houston,65
2022-12-10,Purdue,65,Nebraska,62
2022-12-10,Long Island,61,UConn,114
2022-12-10,Kansas,95,Missouri,67
2022-12-10,Oklahoma,78,Arkansas,88
2022-12-10,MD Eastern,55,Duke,82
2022-12-10,Yale,59,Kentucky,69
2022-12-10,Penn State,74,Illinois,59
2022-12-10,Denver,64,UCLA,87
2022-12-10,Creighton,80,BYU,83
2022-12-10,TCU,83,SMU,75
2022-12-11,McNeese,40,Iowa State,77
2022-12-11,Mississippi St,69,Minnesota,51
2022-12-12,Rice,81,Texas,87
2022-12-12,N Illinois,67,Gonzaga,88
2022-12-13,Memphis,88,Alabama,91
2022-12-13,NC A&T,46,Houston,74
2022-12-13,Texas A&M-CC,61,Arizona,99
2022-12-14,UCLA,87,Maryland,60
2022-12-14,Mississippi St,69,Jackson St,59
2022-12-14,Georgia St,64,Auburn,72
2022-12-15,Lehigh,56,Wisconsin,78
2022-12-16,Schreiner,69,Texas A&M-CC,104
2022-12-16,Bethune,65,Incarnate Word,77
2022-12-16,Xavier,102,Georgetown,89
2022-12-16,C Connecticut,78,Manhattan,67
2022-12-16,Delaware,76,Princeton,69
2022-12-16,Dartmouth,55,South Florida,59
2022-12-16,FGCU,71,St Bonaventure,58
2022-12-16,Austin Peay,60,Murray St,68
2022-12-16,Southern,81,Youngstown St,85
2022-12-16,Miss Valley St,51,Tulsa,66
2022-12-16,Chicago St,52,S Illinois,63
2022-12-16,Missouri St,77,Oral Roberts,80
2022-12-16,ANTELOPE,54,Utah Valley,80
2022-12-16,Green Bay,40,Stanford,85
2022-12-16,Creighton,58,Marquette,69
2022-12-16,Eureka,50,W Illinois,79
2022-12-16,NW Indian,51,Idaho,125
2022-12-16,Weber St,74,Cal Poly,45
2022-12-17,Houston,69,Virginia,61
2022-12-17,UConn,68,Butler,46
2022-12-17,Tennessee,70,Arizona,75
2022-12-17,Indiana,62,Kansas,84
2022-12-17,Bradley,57,Arkansas,76
2022-12-17,Nicholls,66,Mississippi St,68
2022-12-17,Alabama A&M,47,Illinois,68
2022-12-17,Grambling,48,Virginia Tech,74
2022-12-17,Saint Francis,76,Miami,91
2022-12-18,Auburn,71,USC,74
2022-12-18,Miss Valley St,43,TCU,88
2022-12-19,Fairmnt St,74,Bowling Green,93
2022-12-19,Bob Jones,55,Gardner-Webb,116
2022-12-19,Cal State LA,69,Pepperdine,92
2022-12-19,So Indiana,87,IU Indy,74
2022-12-19,Trinity Co Jax,46,Nicholls,90
2022-12-19,Davis & Elkins,66,North Florida,105
2022-12-19,Glenville,73,Marshall,99
2022-12-19,Delaware,60,Rider,59
2022-12-19,Allen,70,Presbyterian,90
2022-12-19,Maine,55,Akron,87
2022-12-19,Holy Cross,60,New Hampshire,78
2022-12-19,Hofstra,70,South Florida,77
2022-12-19,E Texas A&M,68,Purdue FW,85
2022-12-19,Crwlys Rdg,59,UT Martin,120
2022-12-19,St Bonaventure,70,Siena,76
2022-12-19,Sacred Heart,59,Saint Joseph's,77
2022-12-19,Manhattan,80,Marist,69
2022-12-19,Grambling,56,Liberty,75
2022-12-19,Anderson SC,79,Furman,106
2022-12-19,N Dakota St,60,W Illinois,79
2022-12-19,N American,51,SF Austin,83
2022-12-19,Charleston,83,Coastal,69
2022-12-19,Spring Hill,53,South Alabama,82
2022-12-19,Chicago St,52,Illinois St,66
2022-12-19,Dillard,71,New Orleans,79
2022-12-19,Alabama St,65,Arkansas St,72
2022-12-19,Stonehill,50,Bradley,79
2022-12-19,Jarvis Chrstn,64,Rice,109
2022-12-19,North Dakota,62,St Thomas (MN),75
2022-12-19,S Dakota St,40,Oral Roberts,79
2022-12-19,South Dakota,45,Kansas City,62
2022-12-19,Denver,66,Omaha,83
2022-12-19,Westmont,53,Utah Tech,80
2022-12-19,Weber St,75,Utah State,72
2022-12-19,S Diego Christ,35,Fullerton,87
2022-12-19,UT Arlington,68,San Francisco,63
2022-12-19,Idaho,76,CSU Northridge,73
2022-12-19,Life Pacific,52,Long Beach St,97
2022-12-20,Georgetown,73,UConn,84
2022-12-20,Montana St,64,Arizona,85
2022-12-20,Virginia,64,Miami,66
2022-12-20,Jackson St,64,Alabama,84
2022-12-20,Montana,75,Gonzaga,85
2022-12-20,N'Western St,48,Baylor,58
2022-12-20,Duke,70,Wake Forest,81
2022-12-20,Elon,72,Indiana,96
2022-12-20,Marquette,98,Providence,103
2022-12-21,New Orleans,53,Purdue,74
2022-12-21,McNeese,44,Houston,83
2022-12-21,Austin Peay,44,Tennessee,86
2022-12-21,UNC Asheville,51,Arkansas,85
2022-12-21,UC Davis,54,UCLA,81
2022-12-21,Florida A&M,68,Kentucky,88
2022-12-21,TCU,75,Utah,71
2022-12-21,Virginia Tech,65,Boston College,70
2022-12-21,Auburn,84,Washington,61
2022-12-21,Arizona St,60,San Francisco,97
2022-12-22,Harvard,54,Kansas,68
2022-12-22,Morgan St,68,Arizona,93
2022-12-22,Illinois,71,Missouri,93
2022-12-23,Kennesaw St,55,Indiana,69
2022-12-25,Seattle U,85,G Washington,67
2022-12-25,Iona,76,Pepperdine,66
2022-12-25,DePaul,65,Creighton,80
2022-12-25,Utah State,82,Washington St,73
2022-12-25,SMU,57,Hawai’i,58
2022-12-27,E Texas A&M,72,Texas,97
2022-12-28,Villanova,66,UConn,74
2022-12-28,Houston,89,Tulsa,50
2022-12-28,Tennessee,63,Ole Miss,59
2022-12-28,Alabama,78,Mississippi St,67
2022-12-28,Arkansas,57,LSU,60
2022-12-28,Eastern Oregon,42,Gonzaga,120
2022-12-28,Nicholls,56,Baylor,85
2022-12-28,UAlbany,46,Virginia,66
2022-12-28,C Arkansas,57,TCU,103
2022-12-28,Kentucky,75,Missouri,89
2022-12-28,Florida,58,Auburn,61
2022-12-28,Xavier,84,St John's,79
2022-12-28,Colorado St,69,New Mexico,88
2022-12-29,Florida A&M,49,Purdue,82
2022-12-30,UCLA,67,Washington St,66
2022-12-30,Miami,76,Notre Dame,65
2022-12-30,W Michigan,66,Wisconsin,76
2022-12-30,North Carolina,74,Pitt,76
2022-12-31,UConn,73,Xavier,83
2022-12-31,UCF,65,Houston,71
2022-12-31,Oklahoma St,67,Kansas,69
2022-12-31,Arizona,69,Arizona St,60
2022-12-31,Texas,70,Oklahoma,69
2022-12-31,Pepperdine,88,Gonzaga,111
2022-12-31,Baylor,62,Iowa State,77
2022-12-31,Virginia,74,Georgia Tech,56
2022-12-31,Florida St,67,Duke,86
2022-12-31,Texas Tech,61,TCU,67
2022-12-31,Louisville,63,Kentucky,86
2022-12-31,New Mexico,76,Wyoming,75
2022-12-31,West Virginia,76,Kansas St,82
2023-01-01,UCLA,74,Washington,49
2023-01-02,Rutgers,65,Purdue,64
2023-01-03,Kansas,75,Texas Tech,72
2023-01-03,Kansas St,116,Texas,103
2023-01-03,Ole Miss,62,Alabama,84
2023-01-03,Mississippi St,53,Tennessee,87
2023-01-03,Virginia,65,Pitt,68
2023-01-03,Minnesota,60,Wisconsin,63
2023-01-03,New Mexico,67,Fresno St,71
2023-01-04,UConn,61,Providence,73
2023-01-04,Miami,70,Georgia Tech,76
2023-01-04,Missouri,68,Arkansas,74
2023-01-04,Duke,60,NC State,84
2023-01-04,TCU,88,Baylor,87
2023-01-04,Auburn,64,Georgia,76
2023-01-04,Charleston,92,NC A&T,79
2023-01-04,Iowa State,63,Oklahoma,60
2023-01-05,Purdue,71,Ohio State,69
2023-01-05,SMU,53,Houston,87
2023-01-05,Washington,67,Arizona,70
2023-01-05,Gonzaga,77,San Francisco,75
2023-01-05,USC,58,UCLA,60
2023-01-05,Indiana,89,Iowa,91
2023-01-06,W Michigan,74,Toledo,102
2023-01-06,Princeton,68,Columbia,49
2023-01-06,Penn,69,Cornell,88
2023-01-06,Dartmouth,81,Yale,77
2023-01-06,Harvard,70,Brown,68
2023-01-06,Saint Peter's,60,Siena,70
2023-01-06,Quinnipiac,72,Rider,63
2023-01-06,Iona,84,Marist,57
2023-01-06,Canisius,64,Manhattan,57
2023-01-06,Niagara,77,Fairfield,69
2023-01-06,Oakland,64,N Kentucky,63
2023-01-06,Detroit Mercy,85,Wright St,90
2023-01-06,Akron,63,Ball State,70
2023-01-06,Stanford,70,California,92
2023-01-07,Kansas,76,West Virginia,62
2023-01-07,Creighton,60,UConn,69
2023-01-07,Washington St,74,Arizona,61
2023-01-07,Texas,56,Oklahoma St,46
2023-01-07,Kentucky,52,Alabama,78
2023-01-07,Tennessee,85,South Carolina,42
2023-01-07,Gonzaga,81,Santa Clara,76
2023-01-07,Syracuse,66,Virginia,73
2023-01-07,Arkansas,59,Auburn,72
2023-01-07,Wisconsin,69,Illinois,79
2023-01-07,Duke,65,Boston College,64
2023-01-07,Iowa State,69,TCU,67
2023-01-07,Xavier,88,Villanova,80
2023-01-07,Kansas St,97,Baylor,95
2023-01-07,Vanderbilt,82,Missouri,85
2023-01-07,UNLV,84,New Mexico,77
2023-01-07,Delaware,64,Charleston,75
2023-01-08,Houston,72,Cincinnati,59
2023-01-08,Northwestern,84,Indiana,83
2023-01-08,Ohio State,73,Maryland,80
2023-01-09,Alabama St,76,Alcorn St,92
2023-01-09,SC State,85,Morgan St,90
2023-01-09,Colgate,77,Army,75
2023-01-09,IU Indy,70,Robert Morris,77
2023-01-09,NC Central,64,Coppin St,59
2023-01-09,East-West,70,Chicago St,90
2023-01-09,Howard,73,MD Eastern,82
2023-01-09,Norfolk St,78,Delaware St,65
2023-01-09,Oral Roberts,75,New Mexico,82
2023-01-09,Alabama A&M,64,Jackson St,72
2023-01-09,Texas Southern,67,Miss Valley St,71
2023-01-09,Florida A&M,57,Grambling,62
2023-01-09,Bethune,75,Southern,102
2023-01-09,Prairie View,55,AR-Pine Bluff,63
2023-01-10,Oklahoma,75,Kansas,79
2023-01-10,Vanderbilt,68,Tennessee,77
2023-01-10,Oklahoma St,57,Kansas St,65
2023-01-10,North Carolina,58,Virginia,65
2023-01-10,Texas Tech,50,Iowa State,84
2023-01-10,Michigan St,69,Wisconsin,65
2023-01-10,Auburn,82,Ole Miss,73
2023-01-10,Nevada,65,San Diego St,74
2023-01-11,South Florida,77,Houston,83
2023-01-11,Alabama,84,Arkansas,69
2023-01-11,UConn,76,Marquette,82
2023-01-11,TCU,75,Texas,79
2023-01-11,Creighton,87,Xavier,90
2023-01-11,Boston College,72,Miami,88
2023-01-11,Missouri,64,Texas A&M,82
2023-01-11,Charleston,71,UNC Wilmington,69
2023-01-11,Pitt,69,Duke,77
2023-01-12,Utah,49,UCLA,68
2023-01-12,Gonzaga,75,BYU,74
2023-01-12,Arizona,86,Oregon St,74
2023-01-13,Nebraska,55,Purdue,73
2023-01-14,Iowa State,60,Kansas,62
2023-01-14,LSU,66,Alabama,106
2023-01-14,Kentucky,63,Tennessee,56
2023-01-14,Colorado,54,UCLA,68
2023-01-14,Portland,75,Gonzaga,115
2023-01-14,Arizona,68,Oregon,87
2023-01-14,Kansas St,68,TCU,82
2023-01-14,Virginia,67,Florida St,58
2023-01-14,Arkansas,84,Vanderbilt,97
2023-01-14,Miami,81,NC State,83
2023-01-14,Wisconsin,45,Indiana,63
2023-01-14,Providence,67,Creighton,73
2023-01-14,Missouri,64,Florida,73
2023-01-14,Mississippi St,63,Auburn,69
2023-01-14,Elon,60,Charleston,78
2023-01-14,New Mexico,76,San Diego St,67
2023-01-14,Duke,64,Clemson,72
2023-01-15,St John's,85,UConn,74
2023-01-15,Marquette,76,Xavier,80
2023-01-16,Purdue,64,Michigan St,63
2023-01-16,Syracuse,78,Miami,82
2023-01-16,William & Mary,54,Charleston,82
2023-01-16,FAU,76,Western KY,62
2023-01-17,Houston,80,Tulane,60
2023-01-17,Kansas,82,Kansas St,83
2023-01-17,Alabama,78,Vanderbilt,66
2023-01-17,Texas,67,Iowa State,78
2023-01-17,Tennessee,70,Mississippi St,59
2023-01-17,Clemson,77,Wake Forest,87
2023-01-17,Baylor,81,Texas Tech,74
2023-01-18,Xavier,72,DePaul,73
2023-01-18,Virginia Tech,68,Virginia,78
2023-01-18,TCU,65,West Virginia,74
2023-01-18,UConn,66,Seton Hall,67
2023-01-18,Auburn,67,LSU,49
2023-01-18,Providence,75,Marquette,83
2023-01-18,Arkansas,76,Missouri,79
2023-01-19,Purdue,61,Minnesota,39
2023-01-19,UCLA,74,Arizona St,62
2023-01-19,LMU,68,Gonzaga,67
2023-01-19,USC,66,Arizona,81
2023-01-19,Charleston,69,Monmouth,55
2023-01-19,Rutgers,57,Michigan St,70
2023-01-19,FAU,83,UTSA,64
2023-01-20,Ball State,65,Kent State,86
2023-01-20,Mount St Marys,57,Siena,72
2023-01-20,Niagara,62,Rider,65
2023-01-20,Saint Peter's,61,Marist,57
2023-01-20,Iona,84,Manhattan,76
2023-01-20,Canisius,58,Fairfield,67
2023-01-20,Villanova,57,St John's,49
2023-01-20,VCU,74,Richmond,62
2023-01-20,St Francis BK,61,Saint Francis,87
2023-01-20,Stonehill,73,Long Island,66
2023-01-20,C Connecticut,50,Wagner,72
2023-01-20,Sacred Heart,92,FDU,85
2023-01-20,Toledo,86,Buffalo,77
2023-01-20,Boise St,79,New Mexico,81
2023-01-21,TCU,83,Kansas,60
2023-01-21,Alabama,85,Missouri,64
2023-01-21,UCLA,52,Arizona,58
2023-01-21,Gonzaga,99,Pacific,90
2023-01-21,Texas,69,West Virginia,61
2023-01-21,Georgetown,82,Xavier,95
2023-01-21,Tennessee,77,LSU,56
2023-01-21,Virginia,76,Wake Forest,67
2023-01-21,Iowa State,59,Oklahoma St,61
2023-01-21,Texas Tech,58,Kansas St,68
2023-01-21,Auburn,81,South Carolina,66
2023-01-21,Miami,66,Duke,68
2023-01-21,Charleston,87,Northeastern,61
2023-01-21,Virginia Tech,50,Clemson,51
