team,dratings_rating
Valparaiso Beacons,-0.3233
UTSA Roadrunners,-0.3326
Norfolk State Spartans,-0.341
Cal Poly Mustangs,-0.3529
Fordham Rams,-0.363
Hawaii Rainbow Warriors,-0.3643
UNC Asheville Bulldogs,-0.3683
La Salle Explorers,-0.3775
Rice Owls,-0.3805
Quinnipiac Bobcats,-0.3821
Toledo Rockets,-0.3878
Central Connecticut Blue Devils,-0.392
Central Michigan Chippewas,-0.3972
Drexel Dragons,-0.4043
Northern Kentucky Norse,-0.4187
Montana State Bobcats,-0.4251
Merrimack Warriors,-0.4286
Northeastern Huskies,-0.4348
Jacksonville Dolphins,-0.4363
Dartmouth Big Green,-0.4484
Longwood Lancers,-0.4491
Eastern Kentucky Colonels,-0.4535
Elon Phoenix,-0.4705
Wright State Raiders,-0.4751
Brown Bears,-0.4833
Pepperdine Waves,-0.4862
Portland State Vikings,-0.4956
Vermont Catamounts,-0.4957
Abilene Christian Wildcats,-0.5052
Bucknell Bison,-0.5142
Southeastern Louisiana Lions,-0.5177
UT Arlington Mavericks,-0.528
Hofstra Pride,-0.5485
Missouri State Bears,-0.562
Maine Black Bears,-0.5636
Richmond Spiders,-0.5955
Southern University Jaguars,-0.6215
Idaho State Bengals,-0.6265
William & Mary Tribe,-0.6308
Tulsa Golden Hurricane,-0.6324
Campbell Fighting Camels,-0.6411
Georgia Southern Eagles,-0.6554
Queens Royals,-0.6618
Charlotte 49ers,-0.6659
Northwestern State Demons,-0.6709
American University Eagles,-0.6773
Hampton Pirates,-0.6815
Delaware Fightin' Blue Hens,-0.7024
UTRGV Vaqueros,-0.7228
SE Missouri State Redhawks,-0.744
FIU Golden Panthers,-0.7464
UMass Lowell River Hawks,-0.7515
CSU Bakersfield Roadrunners,-0.7574
Incarnate Word Cardinals,-0.7596
Colgate Raiders,-0.7613
UC Davis Aggies,-0.7626
Evansville Purple Aces,-0.7648
Harvard Crimson,-0.7661
South Carolina State Bulldogs,-0.7699
Portland Pilots,-0.7806
Ball State Cardinals,-0.7881
Georgia State Panthers,-0.7975
Marist Red Foxes,-0.8051
SIU Edwardsville Cougars,-0.8077
Little Rock Trojans,-0.8146
Stephen F. Austin Lumberjacks,-0.8161
Mount St. Mary's Mountaineers,-0.8262
South Dakota Coyotes,-0.8319
Presbyterian Blue Hose,-0.8465
Iona Gaels,-0.8637
Northern Arizona Lumberjacks,-0.8703
Manhattan Jaspers,-0.8765
Siena Saints,-0.8818
Eastern Michigan Eagles,-0.8929
Pacific Tigers,-0.8962
Old Dominion Monarchs,-0.9234
Mercer Bears,-0.9307
Albany Great Danes,-0.9312
UMKC Kangarros,-0.9405
Columbia Lions,-0.9569
Idaho Vandals,-0.9603
North Florida Ospreys,-0.964
Gardner Webb Runnin' Bulldogs,-0.982
Sacred Heart Pioneers,-0.983
Jackson State Tigers,-0.9837
Penn Quakers,-1.0037
Monmouth Hawks,-1.0246
Tarleton State Texans,-1.032
North Dakota Fighting Hawks,-1.0522
Navy Midshipmen,-1.057
Alabama State Hornets,-1.0637
Lehigh Mountain Hawks,-1.0724
Western Michigan Broncos,-1.0781
Tennessee State Tigers,-1.0833
Bowling Green Falcons,-1.0882
Boston University Terriers,-1.1242
Louisiana Lafayette,-1.1264
Air Force Falcons,-1.139
Southern Miss Golden Eagles,-1.145
Fresno State Bulldogs,-1.1466
Austin Peay Governors,-1.1544
Houston Christian Huskies,-1.1628
Bethune Cookman Wildcats,-1.2371
Southern Utah Thunderbirds,-1.2418
Saint Peter's Peacocks,-1.2433
Lafayette Leopards,-1.2562
VMI Keydets,-1.2576
UMBC Retrievers,-1.2613
Eastern Washington Eagles,-1.2763
Weber State Wildcats,-1.2897
Loyola Maryland Greyhounds,-1.3508
Army Black Knights,-1.3526
San Diego Toreros,-1.3593
Texas Southern Tigers,-1.3626
LIU Sharks,-1.3706
Utah Tech Trailblazers,-1.401
Charleston Southern Buccaneers,-1.43
Tennessee-Martin Skyhawks,-1.4361
Tennessee Tech Golden Eagles,-1.4576
IUPUI Jaguars,-1.4656
Rider Broncs,-1.4796
Binghamton Bearcats,-1.4888
Morehead State Eagles,-1.492
Holy Cross Crusaders,-1.4926
Coastal Carolina Chanticleers,-1.5033
Denver Pioneers,-1.5274
Delaware State Hornets,-1.5443
St. Francis Red Flash,-1.5456
Fairfield Stags,-1.5462
Long Beach State 49ers,-1.5728
Texas A&M Commerce Lions,-1.601
Niagara Purple Eagles,-1.6053
Lindenwood Lions,-1.6169
Stonehill Skyhawks,-1.6249
Fairleigh Dickinson Knights,-1.6414
Wisconsin Green Bay Phoenix,-1.6414
Eastern Illinois Panthers,-1.6524
Howard Bison,-1.6849
Stony Brook Seawolves,-1.7173
North Carolina Central Eagles,-1.731
Buffalo Bulls,-1.7463
Florida A&M Rattlers,-1.7687
Oral Roberts Golden Eagles,-1.7744
Western Carolina Catamounts,-1.7778
Louisiana Monroe Warhawks,-1.7997
Detroit Titans,-1.8087
Alcorn State Braves,-1.8324
Western Illinois Leathernecks,-1.8531
Cal State Fullerton Titans,-1.8557
Grambling State Tigers,-1.8604
North Carolina A&T Aggies,-1.8955
Bellarmine Knights,-1.9256
Morgan State Bears,-1.929
Southern Indiana Screaming Eagles,-1.9388
Wagner Seahawks,-1.9739
Northern Illinois Huskies,-1.9966
West Georgia Wolves,-2.0377
Mercyhurst Lakers,-2.042
Central Arkansas Bears,-2.0529
New Orleans Privateers,-2.0608
Sacramento State Hornets,-2.1187
USC Upstate Spartans,-2.1306
Stetson Hatters,-2.1551
NJIT Highlanders,-2.1819
Le Moyne Dolphins,-2.1872
New Hampshire Wildcats,-2.204
Canisius Golden Griffins,-2.3866
Alabama A&M Bulldogs,-2.483
The Citadel Bulldogs,-2.5486
Chicago State Cougars,-2.7247
Coppin State Eagles,-2.8077
Prairie View A&M Panthers,-2.9074
MD E Shore Fighting Hawks,-2.9793
Ark Pine Bluff Golden Lions,-3.204
MS Valley State Delta Devils,-4.5743
