team,dratings_rating
UMBC Retrievers,-0.5114
Nicholls State Colonels,-0.5326
UNC Asheville Bulldogs,-0.5433
Georgia Southern Eagles,-0.5779
Indiana State Sycamores,-0.5824
Northeastern Huskies,-0.5867
Portland State Vikings,-0.5987
The Citadel Bulldogs,-0.5999
Detroit Titans,-0.603
Ball State Cardinals,-0.6055
Miami RedHawks,-0.6055
LIU Sharks,-0.6161
FIU Golden Panthers,-0.6299
Dartmouth Big Green,-0.6428
Youngstown State Penguins,-0.6537
Western Illinois Leathernecks,-0.655
Bowling Green Falcons,-0.6561
UC San Diego Tritons,-0.6591
New Hampshire Wildcats,-0.6687
Canisius Golden Griffins,-0.6736
Duquesne Dukes,-0.6842
Kennesaw State Owls,-0.6927
San Jose State Spartans,-0.7146
Louisiana Monroe Warhawks,-0.7385
Lipscomb Bisons,-0.7456
High Point Panthers,-0.7505
Pacific Tigers,-0.7507
Utah Tech Trailblazers,-0.7761
USC Upstate Spartans,-0.7834
Southern University Jaguars,-0.796
UMass Lowell River Hawks,-0.8059
Eastern Kentucky Colonels,-0.8322
UIC Flames,-0.8529
Howard Bison,-0.8547
Alcorn State Braves,-0.8592
Western Carolina Catamounts,-0.8652
North Florida Ospreys,-0.8674
Loyola Maryland Greyhounds,-0.8739
Pepperdine Waves,-0.8823
Mount St. Mary's Mountaineers,-0.8984
CSU Bakersfield Roadrunners,-0.8996
SE Missouri State Redhawks,-0.9011
Texas A&M CC Islanders,-0.9078
Southeastern Louisiana Lions,-0.91
Army Black Knights,-0.9136
Albany Great Danes,-0.9405
Radford Highlanders,-0.9609
New Orleans Privateers,-0.9644
St. Thomas Tommies,-0.9739
Merrimack Warriors,-0.9742
Sacramento State Hornets,-0.9821
North Carolina A&T Aggies,-0.9902
Presbyterian Blue Hose,-0.9989
Northern Illinois Huskies,-1.0266
Eastern Michigan Eagles,-1.0337
Lehigh Mountain Hawks,-1.0354
Tennessee Tech Golden Eagles,-1.0358
Austin Peay Governors,-1.0768
Binghamton Bearcats,-1.0918
Little Rock Trojans,-1.0923
Tennessee State Tigers,-1.1147
Stetson Hatters,-1.1271
UTSA Roadrunners,-1.1517
North Carolina Central Eagles,-1.1596
Cal Poly Mustangs,-1.1633
Central Arkansas Bears,-1.1635
Denver Pioneers,-1.182
Morgan State Bears,-1.2062
Lafayette Leopards,-1.2146
Jackson State Tigers,-1.217
Evansville Purple Aces,-1.2287
Idaho Vandals,-1.2379
Cal State Northridge Matadors,-1.2649
Western Michigan Broncos,-1.2658
Central Michigan Chippewas,-1.2725
Northern Arizona Lumberjacks,-1.2819
Wisconsin Milwaukee Panthers,-1.2878
Florida A&M Rattlers,-1.2903
Idaho State Bengals,-1.2916
Prairie View A&M Panthers,-1.3006
NJIT Highlanders,-1.3111
Bucknell Bison,-1.3151
South Carolina State Bulldogs,-1.3248
SIU Edwardsville Cougars,-1.3264
UTRGV Vaqueros,-1.3469
Coppin State Eagles,-1.3705
Southern Miss Golden Eagles,-1.3823
Grambling State Tigers,-1.3939
Hampton Pirates,-1.4098
American University Eagles,-1.4133
Sacred Heart Pioneers,-1.4218
William & Mary Tribe,-1.422
North Alabama Lions,-1.4292
St. Francis Red Flash,-1.4553
Robert Morris Colonials,-1.4576
Alabama A&M Bulldogs,-1.4976
MD E Shore Fighting Hawks,-1.5076
Tennessee-Martin Skyhawks,-1.5232
Holy Cross Crusaders,-1.563
Chicago State Cougars,-1.5755
McNeese State Cowboys,-1.6202
Alabama State Hornets,-1.6306
Bethune Cookman Wildcats,-1.6798
Northwestern State Demons,-1.7305
Houston Christian Huskies,-1.7574
Central Connecticut Blue Devils,-1.8115
Omaha Mavericks,-1.8163
Wisconsin Green Bay Phoenix,-1.8392
North Dakota Fighting Hawks,-1.8657
Charleston Southern Buccaneers,-1.9004
Fairleigh Dickinson Knights,-1.9247
Columbia Lions,-1.9389
Maine Black Bears,-1.9676
Incarnate Word Cardinals,-2.0855
Ark Pine Bluff Golden Lions,-2.1833
Eastern Illinois Panthers,-2.2283
MS Valley State Delta Devils,-2.6571
IUPUI Jaguars,-2.7143
Lamar Cardinals,-2.9967
Delaware State Hornets,-3.4847
