team,dratings_rating
Furman Paladins,0.5394
Vanderbilt Commodores,0.5093
Buffalo Bulls,0.4998
Rhode Island Rams,0.4835
Texas A&M Aggies,0.4833
South Dakota State Jackrabbits,0.4802
Santa Clara Broncos,0.4716
Kansas State Wildcats,0.4635
Navy Midshipmen,0.4515
UC Riverside Highlanders,0.4471
Miami Hurricanes,0.4417
Georgia State Panthers,0.438
Nebraska Cornhuskers,0.4309
Old Dominion Monarchs,0.4137
Wright State Raiders,0.4079
George Mason Patriots,0.3723
DePaul Blue Demons,0.368
Indiana State Sycamores,0.3673
UMass Minutemen,0.3549
Duquesne Dukes,0.3486
Eastern Washington Eagles,0.3341
Washington Huskies,0.3334
South Florida Bulls,0.3321
Wofford Terriers,0.3214
Tulane Green Wave,0.2873
Oral Roberts Golden Eagles,0.284
Temple Owls,0.2636
Kent State Golden Flashes,0.2504
East Carolina Pirates,0.2469
Grand Canyon Antelopes,0.2157
Mercer Bears,0.1994
Southern Utah Thunderbirds,0.1952
Akron Zips,0.1923
Wyoming Cowboys,0.1923
Morehead State Eagles,0.1768
UTEP Miners,0.1749
CSU Bakersfield Roadrunners,0.1736
Weber State Wildcats,0.1536
Texas State Bobcats,0.1475
Coastal Carolina Chanticleers,0.14
Chattanooga Mocs,0.1178
ETSU Buccaneers,0.1131
UTSA Roadrunners,0.1112
UNLV Rebels,0.0974
Fresno State Bulldogs,0.0736
Wake Forest Demon Deacons,0.0524
Iona Gaels,0.0509
Drexel Dragons,0.0461
Northeastern Huskies,0.0404
Boston College Eagles,0.0308
Siena Saints,0.0228
Vermont Catamounts,0.0103
North Dakota State Bison,0.0085
James Madison Dukes,0.0053
MD E Shore Fighting Hawks,0.0
Princeton Tigers,0.0
Dartmouth Big Green,0.0
Penn Quakers,0.0
Columbia Lions,0.0
Bethune Cookman Wildcats,0.0
Yale Bulldogs,0.0
Harvard Crimson,0.0
Brown Bears,0.0
Cornell Big Red,0.0
Northern Iowa Panthers,-0.0026
Stephen F. Austin Lumberjacks,-0.0269
Hofstra Pride,-0.0313
Bradley University Braves,-0.0451
Army Black Knights,-0.0503
Bowling Green Falcons,-0.0787
Louisiana Lafayette,-0.0808
Bryant Bulldogs,-0.0943
Bellarmine Knights,-0.0992
Cleveland State Vikings,-0.1258
Rice Owls,-0.1322
South Alabama Jaguars,-0.1384
Hawaii Rainbow Warriors,-0.1467
Eastern Kentucky Colonels,-0.1476
UMBC Retrievers,-0.1492
Appalachian State Mountaineers,-0.1523
Texas Southern Tigers,-0.1589
Sam Houston State Bearkats,-0.1663
Prairie View A&M Panthers,-0.1672
Jacksonville State Gamecocks,-0.1739
UC Davis Aggies,-0.1747
Nicholls State Colonels,-0.1754
South Dakota Coyotes,-0.2062
New Mexico State Aggies,-0.2118
Monmouth Hawks,-0.2119
Saint Joseph's Hawks,-0.2352
Florida Atlantic,-0.2388
La Salle Explorers,-0.2392
VMI Keydets,-0.2428
Ball State Cardinals,-0.245
Norfolk State Spartans,-0.2515
Southern Illinois Salukis,-0.2583
San Diego Toreros,-0.2683
Saint Peter's Peacocks,-0.2794
Wagner Seahawks,-0.2905
Miami RedHawks,-0.3099
Charlotte 49ers,-0.3103
Loyola Maryland Greyhounds,-0.335
Lafayette Leopards,-0.3352
Detroit Titans,-0.3483
Charleston Cougars,-0.3643
Boston University Terriers,-0.3877
Montana Grizzlies,-0.3914
Iowa State Cyclones,-0.3923
Valparaiso Beacons,-0.4024
Morgan State Bears,-0.4059
Little Rock Trojans,-0.4218
Murray State Racers,-0.4227
Elon Phoenix,-0.4319
Evansville Purple Aces,-0.4495
UT Arlington Mavericks,-0.451
Lipscomb Bisons,-0.452
American University Eagles,-0.4687
Delaware Fightin' Blue Hens,-0.4715
Mount St. Mary's Mountaineers,-0.4748
UC San Diego Tritons,-0.4749
Northern Kentucky Norse,-0.4762
Montana State Bobcats,-0.4798
Canisius Golden Griffins,-0.4812
Western Carolina Catamounts,-0.4935
Georgia Southern Eagles,-0.5078
Utah Valley Wolverines,-0.5121
George Washington Colonials,-0.5257
The Citadel Bulldogs,-0.5614
Bucknell Bison,-0.5894
LIU Sharks,-0.6035
Niagara Purple Eagles,-0.6103
Marist Red Foxes,-0.6274
Stetson Hatters,-0.6297
Cal State Northridge Matadors,-0.6424
Illinois State Redbirds,-0.6512
Seattle Redhawks,-0.6558
UMass Lowell River Hawks,-0.6633
UMKC Kangarros,-0.6663
Austin Peay Governors,-0.6676
Albany Great Danes,-0.6677
Oakland Golden Grizzlies,-0.6694
Cal State Fullerton Titans,-0.679
Arkansas State Red Wolves,-0.6977
Florida Gulf Coast Eagles,-0.6986
Jackson State Tigers,-0.6993
Campbell Fighting Camels,-0.7001
UNC Wilmington Seahawks,-0.7162
New Hampshire Wildcats,-0.7196
Wisconsin Milwaukee Panthers,-0.7276
Long Beach State 49ers,-0.7303
Merrimack Warriors,-0.7326
California Baptist Lancers,-0.7372
Youngstown State Penguins,-0.7459
Troy Trojans,-0.7657
Northern Colorado Bears,-0.7723
William & Mary Tribe,-0.7797
Radford Highlanders,-0.7804
Quinnipiac Bobcats,-0.7858
North Alabama Lions,-0.7977
Holy Cross Crusaders,-0.803
Fairleigh Dickinson Knights,-0.8237
Southern Miss Golden Eagles,-0.825
Gardner Webb Runnin' Bulldogs,-0.8306
Stony Brook Seawolves,-0.8394
Samford Bulldogs,-0.8447
Coppin State Eagles,-0.8464
UNC Asheville Bulldogs,-0.8467
Portland Pilots,-0.847
FIU Golden Panthers,-0.8607
Sacred Heart Pioneers,-0.8738
Towson Tigers,-0.8889
Portland State Vikings,-0.8891
Fairfield Stags,-0.8941
Idaho State Bengals,-0.9234
Air Force Falcons,-0.933
New Mexico Lobos,-0.9356
Sacramento State Hornets,-0.9438
North Dakota Fighting Hawks,-0.9629
NJIT Highlanders,-0.9668
St. Francis Red Flash,-0.9789
Manhattan Jaspers,-0.9816
Wisconsin Green Bay Phoenix,-0.986
Tarleton State Texans,-0.9892
IUPUI Jaguars,-0.99
Fordham Rams,-0.9972
North Florida Ospreys,-0.9976
Jacksonville Dolphins,-1.0028
SE Missouri State Redhawks,-1.0321
Louisiana Monroe Warhawks,-1.0346
Longwood Lancers,-1.0427
UIC Flames,-1.0457
Rider Broncs,-1.0464
Lehigh Mountain Hawks,-1.062
UTRGV Vaqueros,-1.0815
MTSU Blue Raiders,-1.0846
IPFW Mastodons,-1.1074
Eastern Michigan Eagles,-1.1645
Western Michigan Broncos,-1.1726
Grambling State Tigers,-1.1802
North Carolina A&T Aggies,-1.1864
Howard Bison,-1.1875
High Point Panthers,-1.2205
Central Michigan Chippewas,-1.2248
Northern Arizona Lumberjacks,-1.2284
Eastern Illinois Panthers,-1.2314
San Jose State Spartans,-1.2851
Lamar Cardinals,-1.293
Southern University Jaguars,-1.301
New Orleans Privateers,-1.323
Western Illinois Leathernecks,-1.3249
Northwestern State Demons,-1.3393
Cal Poly Mustangs,-1.3519
Binghamton Bearcats,-1.3567
Utah Tech Trailblazers,-1.3664
SIU Edwardsville Cougars,-1.3972
Hampton Pirates,-1.4072
Central Connecticut Blue Devils,-1.4085
Robert Morris Colonials,-1.4144
Omaha Mavericks,-1.4257
Florida A&M Rattlers,-1.5053
Tennessee Tech Golden Eagles,-1.5079
Maine Black Bears,-1.5436
Central Arkansas Bears,-1.5659
Tennessee-Martin Skyhawks,-1.6001
USC Upstate Spartans,-1.6006
Northern Illinois Huskies,-1.6145
Alabama A&M Bulldogs,-1.6542
Kennesaw State Owls,-1.661
Presbyterian Blue Hose,-1.6898
Southeastern Louisiana Lions,-1.7048
North Carolina Central Eagles,-1.7105
Alcorn State Braves,-1.7125
Tennessee State Tigers,-1.7651
McNeese State Cowboys,-1.9357
Incarnate Word Cardinals,-1.9511
Houston Christian Huskies,-1.9735
Delaware State Hornets,-2.0394
Charleston Southern Buccaneers,-2.0707
Texas A&M CC Islanders,-2.1562
Denver Pioneers,-2.1749
Idaho Vandals,-2.1869
Ark Pine Bluff Golden Lions,-2.2387
Alabama State Hornets,-2.3241
South Carolina State Bulldogs,-2.7796
MS Valley State Delta Devils,-3.091
Chicago State Cougars,-3.239
